titulo,parrafo
"Buildings of Nuffield College, Oxford","['\n', '\n', 'The ', ', one of the ', ' of the ', ', are to the west of the city centre of ', ', England, and stand on the site of the basin of the ', '. ', ' was founded in 1937 after a donation to the University by the car manufacturer ', '; he gave land for the college, as well as £900,000 (approximately £246\xa0million in present-day terms) to build and endow it. The architect ', ', who had worked in Greece and Palestine, was appointed by the University to design the buildings. His initial design, heavily influenced by Mediterranean architecture, was rejected by Nuffield, who called it ""un-English""', ' and refused to allow his name to be associated with it. Harrison reworked the plans, aiming for ""something on the lines of ', '"",', ' as Nuffield wanted.\n', ""Construction of the second design began in 1949 and was finished in 1960. Progress was hampered by post-war building restrictions, and the effects of inflation on Nuffield's donation led to various cost-saving changes to the plans. In one change, the tower, which had been planned to be ornamental, was redesigned to hold the college's library. It was the first tower built in Oxford for 200 years and is about 150 feet (46\xa0m) tall, including the "", ' on top. The buildings are arranged around two ', ', with residential accommodation for students and ', ' in one, and the hall, library and administrative offices in the other. The chapel has ', ' windows designed by ']"
Cathedral of the Immaculate Conception (Moscow),"['\n\n', 'The ', ' is a ', ' ', ' at ', ""'s center, that serves as the cathedral of the "", '. Located in the ', ', it is one of three ', ' churches in ', ' and the largest in Russia.', '\n', 'The construction of the cathedral was approved in 1894 by the ', ' under ', '. ', ' was in 1899; construction work began in 1901 and was completed ten years later. Three-aisled and built from red brick, the cathedral is based on a design by architect ', '. The style was influenced by ', ' and ', '. With the help of funds from Catholic ', ' in Russia and its neighbouring states, the church was consecrated as a ', "" for Moscow's Polish parish in 1911. In the aftermath of the "", ' in 1917, the ']"
Castle,"['\n\n', 'A ', ' is a type of ', ' structure built during the ', ' predominantly by the ', ' or royalty and by ', '. Scholars debate the scope of the word ', ', but usually consider it to be the private ', ' of a lord or noble. This is distinct from a ', ', which is not fortified;\nfrom a fortress, which was not always a residence for royalty or nobility; from a ', ' which was a walled-in residence for nobility, but not adequately fortified;', '\nand from a fortified settlement, which was a public defence – though there are many similarities among these types of construction. Use of the term has varied over time and has been applied to structures as diverse as ', ' and country houses. Over the approximately 900\xa0years that castles were built, they took on a great many forms with many different features, although some, such as ', ', ', ', and portcullises, were commonplace.\n', 'European-style castles originated in the 9th\xa0and 10th\xa0centuries, after the fall of the ', ' resulted in its territory being divided among individual lords and princes. These nobles built castles to control the area immediately surrounding them and the castles were both offensive and defensive structures; they provided a base from which raids could be launched as well as offered protection from enemies. Although their military origins are often emphasised in castle studies, the structures also served as centres of administration and symbols of power. Urban castles were used to control the local populace and important travel routes, and rural castles were often situated near features that were integral to life in the community, such as mills, fertile land, or a water source.\n', 'Many northern European castles were originally built from earth and timber, but had their defences replaced later by ', '. Early castles often exploited natural defences, lacking features such as towers and arrowslits and relying on a central ', '. In the late 12th\xa0and early 13th\xa0centuries, a scientific approach to castle defence emerged. This led to the proliferation of towers, with an emphasis on ', "". Many new castles were polygonal or relied on concentric defence\xa0– several stages of defence within each other that could all function at the same time to maximise the castle's firepower. These changes in defence have been attributed to a mixture of castle technology from the ""]"
Buckton Castle,"['\n\n', ' was a ', ' ', ' near ', ' in ', ', ', ', England. It was surrounded by a 2.8-metre-wide (9\xa0ft) stone ', ' and a ditch 10 metres (33\xa0ft) wide by 6 metres (20\xa0ft) deep. Buckton is one of the earliest stone castles in North West England and only survives as buried remains overgrown with heather and peat. It was most likely built and demolished in the 12th century. The earliest surviving record of the site dates from 1360, by which time it was lying derelict. The few finds retrieved during archaeological investigations indicate that Buckton Castle may not have been completed.\n', 'In the 16th century, the site may have been used as a beacon for the ', "". During the 18th century, the castle was of interest to treasure hunters following rumours that gold and silver had been discovered at Buckton. The site was used as an anti-aircraft decoy site during the Second World War. Between 1996 and 2010, Buckton Castle was investigated by archaeologists as part of the Tameside Archaeology Survey, first by the University of Manchester Archaeological Unit then the University of Salford's Centre for Applied Archaeology. The project involved "", ', and more than 60 volunteers took part. The castle, close to the Buckton Vale Quarry, is a ']"
Bramshill House,"['\n\n', ', in ', ', northeast Hampshire, England, is one of the largest and most important ', ' ', ' mansions in England. It was built in the early 17th century by the ', ' of ', ' but was partly destroyed by fire a few years later. The design shows the influence of the ', ', which became popular in England during the late 16th century. The house was designated a Grade I ', ' in 1952.\n', ""The mansion's southern façade is notable for its decorative architecture, which includes at its centre a large "", ' above the principal entrance. Interior features include a great hall displaying 92 coats of arms on a Jacobean screen, an ornate drawing room, and a 126.5-foot-long (38.6\xa0m) gallery. Numerous columns and ', ' are found throughout the mansion, while several rooms have large ', ' depicting historical figures and events on their panelled walls. The house is set in 262 acres (106\xa0ha) of grounds containing an 18-acre (7.3\xa0ha) lake. The grounds, which received a Grade\xa0II* listing in 1984, are part of a ', ' that includes about 25 acres (10\xa0ha) of early 17th-century formal gardens near the house. The wider medieval park was landscaped from the 17th to the 20th century and contains woodland.\n', 'Bramshill appears to have been a local sporting and social venue since the 16th century. The ', ' ground at the house played host to a ', ' match in 1823 when an early ', ' team played an ', ', and it hosted three other matches in 1825–26. During the Second World War, the mansion was used as a Red Cross ', ', before becoming the residence of the exiled King ', ' and ']"
Buildings and architecture of Bristol,"['\n\n', ', the largest city in ', ', has an ', ' combination of ', ', ranging from the ', ' to 20th century ', ' and beyond. During the mid-19th century, ', ', an architectural style unique to the city, was developed, and several examples have survived.\n', 'Buildings from most of the ', ' of the United Kingdom can be seen throughout Bristol. Parts of the fortified city and castle date back to the ', ', as do some churches dating from the 12th century onwards. Outside the historical city centre there are several large ', ' mansions built for wealthy merchants. ', ' and ', ' of the same period survive, intermingled with areas of more recent development. Several ', '-era squares were laid out for the enjoyment of the middle class. As the city grew, it ', ' with its surrounding villages, each with its own character and centre, often clustered around a ']"
Bruce Castle,"['\n\n', ' (formerly the ', ') is a ', ' 16th-century', ' ', ' in ', ', ', ', London. It is named after the ', ' who formerly owned the land on which it is built. Believed to stand on the site of an earlier building, about which little is known, the current house is one of the oldest surviving English brick houses. It was remodelled in the 17th, 18th and 19th centuries.\n', 'The house has been home to ', ', the ', ' and ', ', among others. After serving as a school during the 19th century, when a large extension was built to the west, it was converted into a museum exploring the history of the areas now constituting ', ' and, on the strength of its connection with Sir Rowland Hill, the history of the ', "". The building also houses the archives of the London Borough of Haringey. Since 1892 the grounds have been a public park, Tottenham's oldest.\n"", 'The name ', ' is derived from the ', ', who had historically owned a third of the ', ' of Tottenham. However, there was no castle in the area, and it is unlikely that the family lived nearby.', ' Upon his accession to ', ' in 1306, ']"
Brougham Castle,"['\n\n', ' (pronounced ', ') is a ', ' about 2 miles (3.2\xa0km) south-east of ', ', England. The ', ' was founded by ', ' in the early 13th century. The site, near the confluence of the rivers, ', ' and ', ', had been chosen by the ', ' for a ', ' called ', '. The castle, along with the fort, is a ', ': ""Brougham Roman fort and Brougham Castle"".', '\n', 'In its earliest form, the castle consisted of a stone ', ', with an ', ' and a wooden ', '. When the castle was built, Robert de Vieuxpont was one of the only ', ' in the region who were loyal to ', '. The Vieuxponts were a powerful land-owning family in ', ', who also owned the castles of ']"
"Buildings of Jesus College, Oxford","['\n', '\n', 'The main ', ', one of the ', ' of the ', ', are located in the centre of the city of ', ', England, between ', ', ', ', ', ', and ', '. ', ' was founded in 1571 by ', ' caused by the petition of a ', ' clergyman, ', ', who was treasurer of ', "". Her foundation charter gave to the college the land and buildings of White Hall, a university hall that had experienced a decline in student numbers. Price added new buildings to those of White Hall, and construction work continued after his death in 1574. The first of the college's "", "", which includes the hall, chapel, and principal's lodgings was completed between 1621 and 1630.  Construction of the second quadrangle began in the 1630s, but was interrupted by the "", ' and was not completed until about 1712. Further buildings were erected in a third quadrangle during the 20th century, including science laboratories (now closed), a library for undergraduates, and additional accommodation for students and ', '. In addition to the main site, the college owns flats in east and north Oxford, and a sports ground.\n', 'The chapel, which was dedicated in 1621 and extended in 1636, was extensively altered in 1864 under the supervision of the architect ', '. The alterations have had their supporters and their critics; one historian of the college (']"
Buckingham Palace,"['\n\n\n', '\n', ' (', ')', ' is a ', ' royal ', ' and the administrative headquarters of the ', '.', ' Located in the ', ', the palace is often at the centre of state occasions and royal hospitality. It has been a focal point for the ', ' at times of national rejoicing and mourning.\n', 'Originally known as ', "", the building at the core of today's palace was a large "", ' built for the ', ' in 1703 on a site that had been in private ownership for at least 150 years. It was acquired by ', ' in 1761 as a private residence for ', "" and became known as The Queen's House. During the 19th century it was enlarged, principally by architects "", ' and ', ', who constructed three wings around a central courtyard. Buckingham Palace became the London residence of the British monarch on the accession of ', ' in 1837.\n', 'The last major structural additions were made in the late 19th and early 20th centuries, including the East Front, which contains the well-known balcony on which the ']"
Bramall Hall,"['\n', ' is a largely ', ' ', ' in ', ', within the ', ', Greater Manchester, England. It is a ', ' building; the oldest parts of which date from the 14th century, with later additions from the 16th and 19th centuries.  The house, which functions as a museum, and its 70 acres (28\xa0ha) of landscaped parkland with lakes, woodland and gardens (', ') are open to the public.\n', 'Dating back to ', ', the manor of Bramall was first described in the ', "" in 1086, when it was held by the Masseys. From the late 14th century, it was owned by the Davenports who built the present house; they remained lords of the manor for about 500\xa0years. In 1877, they sold the estate of nearly 2,000 acres to the Manchester Freeholders' Company, a property company formed expressly for the purpose of exploiting the estate's potential for residential building development. The Hall and a residual park of over 50 acres was sold on by the Freeholders (though not the lordship of the manor) to the Nevill family of successful industrialists. In 1925, it was purchased by "", ' and then, in 1935, acquired by the local government authority for the area, Hazel Grove and Bramhall Urban District Council. Following a local government reorganisation in 1974, Bramall Hall is now owned by ', ' (SMBC), which describes it as ""the most prestigious and historically significant building in the Conservation Area"".', '\n', 'The name ""Bramall"" means ""nook of land where broom grows"" and is derived from the ', ' noun ', ' meaning ', ', a type of shrub common in the area, and the Old English noun ', ', which has several meanings—including nook, secret place and valley—that could refer to Bramall.', ' The manor of Bramall dates from the ', ', when it was held as two separate estates owned by the ']"
Bodiam Castle,"['\n\n', ' (', ') is a 14th-century ', ' ', ' near ', ' in East Sussex, England. It was built in 1385 by Sir ', ', a former knight of ', ', with the permission of ', ', ostensibly to defend the area against French invasion during the ', '. Of ', ', Bodiam Castle has no ', ', having its various chambers built around the outer defensive walls and inner courts. Its corners and entrance are marked by towers, and topped by ', "". Its structure, details and situation in an artificial watery landscape indicate that display was an important aspect of the castle's design as well as defence. It was the home of the "", ' family and the centre of the ', ' of ']"
Blakeney Chapel,"['\n', '\n\n', ' is a ruined building on the coast of ', ', ', '. Despite its name, it was probably not a ', ', nor is it in the adjoining village of ', ', but rather in the ', ' of ', '. The building stood on a raised mound or ""eye"" on the seaward end of the coastal marshes, less than 200\xa0m (220\xa0yd) from the sea and just to the north of the current channel of the ', ' where it turns to run parallel to the shoreline. It consisted of two rectangular rooms of unequal size, and appears to be intact in a 1586 map, but is shown as ruins in later charts. Only the foundations and part of a wall still remain. Three ', ' investigations between 1998 and 2005 provided more detail of the construction, and showed two distinct periods of active use. Although it is described as a chapel on several maps, there is no documentary or archaeological evidence to suggest that it had any religious function. A small ', ', probably used for ', ' iron, is the only evidence of a specific activity on the site.\n', 'Much of the structural material was long ago carried off for reuse in buildings in Cley and Blakeney. The surviving ruins are protected as a ', ' and ', "" because of their historical importance, but there is no active management. The ever-present threat from the encroaching sea is likely to increase following a realignment of the Glaven's course through the marshes, and lead to the loss of the ruins.\n"", 'The Blakeney Chapel ruins consist of an east–west rectangular structure (S1) 18\xa0m ×\xa07\xa0m (59\xa0ft ×\xa023\xa0ft) in size with a smaller rectangular building (S2), 13\xa0m ×\xa05\xa0m (43\xa0ft ×\xa016\xa0ft) built onto the southern side of the main room. Most of the structure is buried; only a 6\xa0m (20\xa0ft) length of a ', ' and mortar wall was exposed to a height of 0.3\xa0m (1\xa0ft) prior to the excavation of 2004–05. The ruins stand on the highest point of Blakeney Eye at about 2\xa0m (7\xa0ft) above sea level.', ' The Eye is a sandy mound in the ', ' that is located inside the sea wall at the point where the ', ' turns westward towards the sheltered inlet of ']"
Benty Grange helmet,"['\n\n\n', 'The ', ' is an ', ' ', ' from the 7th century AD. It was excavated by ', ' in 1848 from a ', ' at the ', ' farm in ', ' in western ', "". The grave had probably been looted by the time of Bateman's excavation, but still contained other high-status objects suggestive of a richly furnished burial, such as the "", '. The helmet is displayed at ', ""'s "", "", which purchased it from Bateman's estate in 1893.\n"", 'The helmet was constructed by covering the outside of an iron framework with plates of horn and the inside with cloth or leather; the organic material has since decayed. It would have provided some protection against weapons, but was also ornate and may have been intended for ceremonial use. It was the first Anglo-Saxon helmet to be discovered, with five others found since: ', ', ', ', ', ', ', ' and ', '. The helmet features a unique combination of structural and technical attributes, but contemporaneous parallels exist for its individual characteristics. It is classified as one of the ""crested helmets"" used in Northern Europe from the 6th to 11th centuries AD.\n', 'The most striking feature of the helmet is the boar at its apex; this pagan symbol faces towards a ', ' on the ']"
Borobudur,"['\n', ', also transcribed ', ' (', ': ', ', ', ': ', ', ', ') is a 9th-century ', ' ', ' in ', ', not far from the town of ', ', in ', ', ', "". It is the world's largest "", '.', ' The temple consists of nine stacked platforms, six square and three circular, topped by a central dome. It is decorated with 2,672 ', ' panels and originally 504 ', '. The central dome is surrounded by 72 Buddha statues, each seated inside a perforated ', '.', '\n', 'Built in the 9th century during the reign of the ']"
Biblioteca Marciana,"['\n', 'The ', ' or  ', ' (', ': ', ', but in historical documents commonly referred to as ', ') is a ', ' in ', ', Italy. It is one of the earliest surviving public libraries and repositories for ', "" in Italy and holds one of the world's most significant collections of "", '. It is named after ', ', the ', ' of the city.\n', 'The library was founded in 1468 when the ', ' Cardinal ', ', ', ' and titular ', ', donated his collection of Greek and Latin manuscripts to the ', "", with the stipulation that a library of public utility be established. The collection was the result of Bessarion's persistent efforts to locate rare manuscripts throughout Greece and Italy and then acquire or copy them as a means of preserving the "", ' and the ', ' after the ']"
Acra (fortress),"['The ', ' (also spelled ', ', from ', ': ', ', ', ': ', ' ', '), with the meaning of ""stronghold"" (see under ', '), was a place in ', ' thought to have had a fortified ', ' built by ', ', ruler of the ', ', following his sack of the city in 168\xa0', '. The name Acra was also used at a later time for a city quarter probably associated with the by-then destroyed fortress, known in his time to ', ' (1st century CE) as both Acra and ""the lower city"". The fortress played a significant role in the events surrounding the ', ', which resulted in the formation of the ', '. The ""upper city"" was captured by ', ', with the Seleucid garrison taking refuge in the ""Acra"" below,', ' and the task of destroying this last enemy stronghold inside Jerusalem fell to ', ' surnamed Thassi.', ' Our knowledge about the Acra is based almost exclusively on the writings of Josephus, which are of a later date, and on the ']"
Belton House,"['\n', ' is a ', ' listed ', ' in the parish of ', ' near ', ' in ', ', ', ', built between 1685 and 1688 by ', '. It is surrounded by formal gardens and a series of avenues leading to ', ' within a larger wooded ', '. Belton has been described as a compilation of all that is finest of ', ' architecture, the only truly ', ' style of architecture that England had produced since the ', '.', ' It is considered to be a complete example of a typical English country house.', '\n', 'For about three centuries until 1984, Belton House was the seat successively of the ', ', which had first acquired land in the area in the late 16th century, and of its heirs the ', ' (in 1815 created ', '). Despite his great wealth Sir John Brownlow, 3rd Baronet, chose to build a comparatively modest house rather than one of the grand ', ' palaces being built by others at the time. The contemporary, if provincial, Carolean style was the selected choice of design. The new house was fitted with the latest ']"
Angkor Wat,"['\n', '\n', ' (', ': ', ', ', ' ', '; meaning ""Temple City"") is a temple complex in ', ' and is the largest religious monument in the world,', ' on a site measuring 162.6 hectares (1,626,000\xa0m', '; 402 acres).', ' Breaking from Shaiva tradition of previous kings, Angkor Wat was dedicated to Vishnu for the ']"
